name,Type & Stage,CEO,ticker,exchange,Filed Date,Est Raise,Terms set,IPO Date,Total Raised,Priced at,Current Price,SPAC Raise,Total Deal Size,Merger Closed,Announced,Priced Date
Ibere Pharmaceuticals,SPAC: Priced,Osagie Imasogie,IBER,NASDAQ,,,,,$138M,,,,,,,26 February
Isleworth Healthcare Acquisition,SPAC: Priced,Robert Whitehead,ISLE,NASDAQ,,,,,$207M,,,,,,,25 February
ABG Acquisition I,SPAC: Priced,Frank Yu,ABGI,NASDAQ,,,,,$150.65M,,,,,,,17 February
NexImmune,IPO: Priced,Scott Carmer,NEXI,NASDAQ,,,,12 February,$110M,$17,$11.75,,,,,
Decibel Therapeutics,IPO: Priced,Laurence Reid,DBTX,NASDAQ,,,,11 February,$127M,$18,$8.57,,,,,
Sema4,SPAC: To Merge,Eric Schadt,CMLF,NASDAQ,,,,,,,$11.6,$443M,$793,,10 February,
Biophytis,IPO: Priced,Stanislas Veillet,BPTS,NASDAQ,,,,10 February,$20M,$16.75,$6.34,,,,,
Adagene,IPO: Priced,Peter Luo,ADAG,NASDAQ,,,,9 February,$140M,$19,$11.93,,,,,
HH&L Acquisition,SPAC: Priced,Richard Li,HHLA,NASDAQ,,,,,$414M,,,,,,,5 February
Angion Biomedica,IPO: Priced,Jay Venkatesan,ANGN,NASDAQ,,,,5 February,$80M,$16,$4.66,,,,,
Evaxion Biotech,IPO: Priced,Lars Wegner,EVAX,NASDAQ,,,,4 February,$30M,$10,$12.6,,,,,
Pharvaris,IPO: Priced,Berndt Modig,PHVS,NASDAQ,,,,4 February,$165.4M,$20,$15.69,,,,,
Terns Pharmaceuticals,IPO: Priced,Senthil Sundaram,TERN,NASDAQ,,,,4 February,$128M,$17,$9.93,,,,,
Immunocore,IPO: Priced,Bahija Jallal,IMCR,NASDAQ,,,,4 February,$258M,$26,$38.94,,,,,
Bolt Biotherapeutics,IPO: Priced,Randy Schatzman,BOLT,NASDAQ,,,,4 February,$230M,$20,$12.64,,,,,
Vor Biopharma,IPO: Priced,Robert Ang,VOR,NASDAQ,,,,4 February,$203.4M,$18,$17.85,,,,,
Sana Biotechnology,IPO: Priced,Steve Harr,SANA,NASDAQ,,,,3 February,$675.6M,$25,$22.98,,,,,
Landos Biopharma,IPO: Priced,Josep Bassaganya-Riera,LABP,NASDAQ,,,,3 February,$100M,$16,$14.02,,,,,
Sensei Biotherapeutics,IPO: Priced,John Celebi,SNSE,NASDAQ,,,,3 February,$133M,$19,$8.51,,,,,
Brookline Capital Acquisition,SPAC: Priced,Samuel Wertheimer,BCAC,NASDAQ,,,,,$57.5M,,,,,,,29 January
Ignyte Acquisition,SPAC: Priced,David Rosenberg,IGNYU,NASDAQ,,,,,$57.5M,,,,,,,28 January
HealthCor Catalio Acquisition,SPAC: Priced,Christopher Gaulin,HCAQ,NASDAQ,,,,,$207M,,,,,,,27 January
Biotech Acquisition,SPAC: Priced,Michael Shleifer,BIOT,NASDAQ,,,,,$230M,,,,,,,26 January
One Equity Partners Open Water I,SPAC: Priced,Todd Bradley,OEPW,NASDAQ,,,,,$345M,,,,,,,22 January
SCP & CO Healthcare Acquisition,SPAC: Priced,Scott Feuer,SHAC,NASDAQ,,,,,$230M,,,,,,,22 January
FoxWayne Enterprises Acquisition,SPAC: Priced,Robb Knie,FOXWU,NASDAQ,,,,,$57.5M,,,,,,,20 January
Healthcare Capital Corp,SPAC: Priced,William Johns,HCCC,NASDAQ,,,,,$275M,,,,,,,15 January
Big Cypress Acquisition,SPAC: Priced,Samuel Reich,BCYP,NASDAQ,,,,,$115M,,,,,,,12 January
KL Acquisition,SPAC: Priced,Doug Logigian,KLAQ,NASDAQ,,,,,$287.5M,,,,,,,8 January
Cullinan Oncology,IPO: Priced,Owen Hughes,CGEM,NASDAQ,,,,8 January,$249.9M,$21,$22.71,,,,,
Gracell Biotechnologies,IPO: Priced,Wei William Cao,GRCL,NASDAQ,,,,8 January,$209M,$19,$11.23,,,,,
Omega Alpha SPAC,SPAC: Priced,Otello Stampacchia,OMEG,NASDAQ,,,,,$120M,,,,,,,7 January
